timestamp,robot_state,servo_on,emergency_stopped,safety_stopped,joint_position,joint_velocity,joint_current,joint_temperature,joint_torque,task_position,task_orientation
2026-05-28 11:04:45.864886,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[46.0, 43.0, 46.0, 56.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:46.907495,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 56.0, 54.0, 55.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:47.949649,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[46.0, 43.0, 46.0, 56.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:48.987807,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 55.0, 54.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:50.029636,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 55.0, 54.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:51.064689,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[45.0, 43.0, 47.0, 56.0, 53.0, 55.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:52.103026,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[45.0, 44.0, 47.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:53.142900,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[45.0, 44.0, 47.0, 56.0, 53.0, 55.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:54.179527,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 56.0, 53.0, 55.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:55.226259,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[45.0, 44.0, 46.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
